,date,uid,gender,age_group,year,books_read,genre,when_listening
115,2018-02,EZL70,male,18-29,2018,3.3,Romance,Home
116,2018-02,DFG32,female,30-49,2018,3.5,Business,Home
117,2018-02,LKC03,female,30-49,2018,1.2,Comedy,Commuting
118,2018-02,CLA50,female,65+,2018,2.7,Comedy,Walking/Shopping
119,2018-02,SKZ24,female,30-49,2018,1.2,Podcasts,Home
120,2018-02,TIJ69,male,30-49,2018,1.6,Mysteries/Thrillers,Exercising
121,2018-02,WKS63,female,30-49,2018,2.8,Non-fiction,Home
122,2018-02,GCW05,male,30-49,2018,2.7,Business,Walking/Shopping
123,2018-02,NDR97,male,30-49,2018,2.0,Non-fiction,Walking/Shopping
124,2018-02,KDZ56,male,18-29,2018,1.3,Podcasts,Walking/Shopping
125,2018-02,UKB16,female,30-49,2018,1.6,Sci-Fi & Fantasy,Walking/Shopping
126,2018-02,JWT96,female,30-49,2018,3.7,Sci-Fi & Fantasy,Home
127,2018-02,HUA58,male,50-64,2018,2.0,Romance,Commuting
128,2018-02,NDN53,male,30-49,2018,0.4,Mysteries/Thrillers,Home
129,2018-02,XIH52,female,18-29,2018,2.2,Sci-Fi & Fantasy,Exercising
130,2018-02,IKY01,male,18-29,2018,2.2,Non-fiction,Home
131,2018-02,FZX15,female,50-64,2018,2.1,Sci-Fi & Fantasy,Commuting
132,2018-02,CII59,male,18-29,2018,1.3,Mysteries/Thrillers,Walking/Shopping
133,2018-02,VNU47,female,30-49,2018,1.8,Romance,Walking/Shopping
134,2018-02,UGV54,female,18-29,2018,3.4,Sci-Fi & Fantasy,Home
135,2018-02,KFN16,male,50-64,2018,3.1,Romance,Commuting
136,2018-02,XUP46,female,65+,2018,1.5,Podcasts,Home
137,2018-02,DBW36,female,18-29,2018,0.6,Sci-Fi & Fantasy,Commuting
138,2018-02,KJU37,male,65+,2018,2.7,Non-fiction,Walking/Shopping
139,2018-02,VEZ04,female,18-29,2018,3.0,History,Home
140,2018-02,NVE53,female,50-64,2018,2.1,Sci-Fi & Fantasy,Walking/Shopping
141,2018-02,XDG83,male,50-64,2018,3.8,Mysteries/Thrillers,Commuting
142,2018-02,YBK15,male,50-64,2018,2.8,Sci-Fi & Fantasy,Walking/Shopping
143,2018-02,ZIQ24,male,18-29,2018,1.6,Sci-Fi & Fantasy,Walking/Shopping
144,2018-02,OGR59,male,18-29,2018,2.4,Mysteries/Thrillers,Walking/Shopping
145,2018-02,HYE06,male,30-49,2018,3.9,Podcasts,Commuting
146,2018-02,TMB91,male,18-29,2018,1.5,Comedy,Home
147,2018-02,WXF84,female,50-64,2018,3.2,Romance,Commuting
148,2018-02,XXU25,male,18-29,2018,1.4,Podcasts,Exercising
149,2018-02,ZIK60,male,18-29,2018,2.1,Mysteries/Thrillers,Home
150,2018-02,GEK46,male,30-49,2018,1.0,Podcasts,Home
151,2018-02,MEB57,male,30-49,2018,2.7,Romance,Commuting
152,2018-02,YVH84,male,50-64,2018,1.5,Mysteries/Thrillers,Exercising
153,2018-02,HCL52,male,18-29,2018,2.4,Romance,Walking/Shopping
154,2018-02,FYB94,male,30-49,2018,0.1,History,Commuting
155,2018-02,UCO74,female,50-64,2018,1.2,Non-fiction,Commuting
156,2018-02,JMF22,male,65+,2018,1.9,Mysteries/Thrillers,Home
157,2018-02,AXB90,female,18-29,2018,2.3,Podcasts,Commuting
158,2018-02,ROB97,male,50-64,2018,2.8,Business,Home
159,2018-02,WLH11,female,18-29,2018,3.5,Sci-Fi & Fantasy,Commuting
160,2018-02,RVF03,female,50-64,2018,1.7,Business,Commuting
161,2018-02,DFF64,female,18-29,2018,2.7,Podcasts,Home
162,2018-02,OKZ40,female,18-29,2018,1.4,Business,Home
163,2018-02,DTX14,female,18-29,2018,3.6,Podcasts,Home
164,2018-02,WOA52,male,30-49,2018,3.2,Romance,Commuting
165,2018-02,FYC87,male,18-29,2018,3.8,Comedy,Home
166,2018-02,PIC69,male,30-49,2018,3.0,Romance,Exercising
167,2018-02,EDM80,female,30-49,2018,2.9,Sci-Fi & Fantasy,Home
168,2018-02,UCA14,male,50-64,2018,2.1,Sci-Fi & Fantasy,Commuting
169,2018-02,YRB14,female,18-29,2018,4.8,Mysteries/Thrillers,Exercising
170,2018-02,CRJ98,female,65+,2018,4.8,Non-fiction,Home
171,2018-02,VGL60,male,30-49,2018,1.5,Mysteries/Thrillers,Home
172,2018-02,AIK78,male,50-64,2018,0.1,Romance,Home
173,2018-02,BBY21,female,50-64,2018,3.8,Comedy,Commuting
174,2018-02,UUP78,male,18-29,2018,2.2,Podcasts,Commuting
175,2018-02,WGK93,female,18-29,2018,1.7,Sci-Fi & Fantasy,Commuting
176,2018-02,QWW63,female,30-49,2018,3.0,Mysteries/Thrillers,Home
177,2018-02,RAJ76,male,30-49,2018,2.3,Romance,Commuting
178,2018-02,CSP41,female,18-29,2018,3.8,Romance,Exercising
179,2018-02,PTF60,female,18-29,2018,4.1,Romance,Commuting
180,2018-02,FJU28,female,30-49,2018,3.5,History,Commuting
181,2018-02,ZEA77,male,50-64,2018,3.3,Mysteries/Thrillers,Walking/Shopping
182,2018-02,XRU31,male,18-29,2018,1.2,Comedy,Home
183,2018-02,ZPH80,female,18-29,2018,2.5,Romance,Home
184,2018-02,BGD46,female,65+,2018,3.4,History,Commuting
185,2018-02,NOD59,male,50-64,2018,0.4,Romance,Commuting
186,2018-02,IUQ76,female,18-29,2018,3.2,Business,Walking/Shopping
187,2018-02,LGC11,female,65+,2018,1.4,Sci-Fi & Fantasy,Commuting
188,2018-02,TVV83,female,18-29,2018,2.1,Podcasts,Walking/Shopping
189,2018-02,RVD02,male,18-29,2018,2.8,Sci-Fi & Fantasy,Commuting
190,2018-02,XUD81,female,65+,2018,2.3,Mysteries/Thrillers,Home
191,2018-02,GEW80,male,18-29,2018,1.9,Sci-Fi & Fantasy,Commuting
192,2018-02,AUK56,male,50-64,2018,2.1,Romance,Commuting
193,2018-02,OEI57,male,18-29,2018,1.3,Comedy,Commuting
194,2018-02,IAD29,female,18-29,2018,3.0,Non-fiction,Home
195,2018-02,LMK88,male,50-64,2018,3.4,Sci-Fi & Fantasy,Commuting
196,2018-02,ERO80,male,65+,2018,2.2,Podcasts,Home
197,2018-02,PEO84,male,30-49,2018,1.2,Sci-Fi & Fantasy,Commuting
198,2018-02,NJY80,female,18-29,2018,2.0,Podcasts,Home
199,2018-02,BNI06,male,18-29,2018,4.4,Business,Commuting
200,2018-03,BCK19,male,18-29,2018,3.8,Podcasts,Commuting
201,2018-03,ANI81,female,18-29,2018,2.1,Business,Commuting
202,2018-03,IIG04,female,18-29,2018,1.5,Mysteries/Thrillers,Walking/Shopping
203,2018-03,CPB34,male,30-49,2018,2.4,History,Commuting
204,2018-03,XCD70,female,30-49,2018,1.7,Sci-Fi & Fantasy,Home
205,2018-03,XOG87,male,30-49,2018,1.1,Podcasts,Home
206,2018-03,IUF65,male,50-64,2018,1.8,Children,Commuting
207,2018-03,VIK75,male,30-49,2018,1.4,Mysteries/Thrillers,Walking/Shopping
208,2018-03,RQR84,male,18-29,2018,5.3,History,Commuting
209,2018-03,RJA71,male,50-64,2018,1.2,Comedy,Home
210,2018-03,VXR13,male,30-49,2018,1.1,Romance,Walking/Shopping
211,2018-03,KBL53,female,50-64,2018,3.4,Mysteries/Thrillers,Walking/Shopping
212,2018-03,ECQ03,male,30-49,2018,2.7,Sci-Fi & Fantasy,Home
213,2018-03,FNS96,female,30-49,2018,2.0,History,Home
214,2018-03,ZZQ24,male,30-49,2018,3.6,Sci-Fi & Fantasy,Exercising
215,2018-03,EZL70,male,18-29,2018,0.9,Business,Commuting
216,2018-03,DFG32,female,30-49,2018,2.5,Mysteries/Thrillers,Home
217,2018-03,LKC03,female,30-49,2018,3.8,Comedy,Home
218,2018-03,CLA50,female,65+,2018,2.2,Mysteries/Thrillers,Commuting
219,2018-03,SKZ24,female,30-49,2018,3.9,Non-fiction,Commuting
220,2018-03,TIJ69,male,30-49,2018,3.9,Business,Exercising
221,2018-03,WKS63,female,30-49,2018,1.9,Business,Walking/Shopping
222,2018-03,GCW05,male,30-49,2018,1.7,Romance,Home
223,2018-03,NDR97,male,30-49,2018,3.5,Sci-Fi & Fantasy,Home
224,2018-03,KDZ56,male,18-29,2018,2.6,Mysteries/Thrillers,Home
225,2018-03,UKB16,female,30-49,2018,1.7,Mysteries/Thrillers,Commuting
226,2018-03,JWT96,female,30-49,2018,1.2,Podcasts,Home
227,2018-03,HUA58,male,50-64,2018,2.0,Comedy,Home
228,2018-03,NDN53,male,30-49,2018,2.4,Mysteries/Thrillers,Home
229,2018-03,XIH52,female,18-29,2018,4.4,Romance,Walking/Shopping
230,2018-03,IKY01,male,18-29,2018,2.4,Sci-Fi & Fantasy,Commuting
231,2018-03,FZX15,female,50-64,2018,2.5,Sci-Fi & Fantasy,Home
232,2018-03,CII59,male,18-29,2018,2.7,Romance,Exercising
233,2018-03,VNU47,female,30-49,2018,1.5,Podcasts,Commuting
234,2018-03,UGV54,female,18-29,2018,2.7,Business,Commuting
235,2018-03,KFN16,male,50-64,2018,1.9,Podcasts,Commuting
236,2018-03,XUP46,female,65+,2018,1.7,Podcasts,Walking/Shopping
237,2018-03,DBW36,female,18-29,2018,0.5,Business,Exercising
238,2018-03,KJU37,male,65+,2018,2.8,Romance,Home
239,2018-03,VEZ04,female,18-29,2018,3.7,Business,Walking/Shopping
240,2018-03,NVE53,female,50-64,2018,1.4,History,Commuting
241,2018-03,XDG83,male,50-64,2018,1.9,Sci-Fi & Fantasy,Exercising
242,2018-03,YBK15,male,50-64,2018,2.7,Romance,Commuting
243,2018-03,ZIQ24,male,18-29,2018,3.8,Mysteries/Thrillers,Home
244,2018-03,OGR59,male,18-29,2018,3.2,Mysteries/Thrillers,Home
245,2018-03,HYE06,male,30-49,2018,1.5,Non-fiction,Home
246,2018-03,TMB91,male,18-29,2018,2.0,Business,Walking/Shopping
247,2018-03,WXF84,female,50-64,2018,1.4,Comedy,Home
248,2018-03,XXU25,male,18-29,2018,3.0,Mysteries/Thrillers,Home
249,2018-03,ZIK60,male,18-29,2018,1.3,Business,Commuting
250,2018-03,GEK46,male,30-49,2018,0.6,Business,Home
251,2018-03,MEB57,male,30-49,2018,4.2,Comedy,Home
252,2018-03,YVH84,male,50-64,2018,1.6,Romance,Walking/Shopping
253,2018-03,HCL52,male,18-29,2018,2.5,Business,Home
254,2018-03,FYB94,male,30-49,2018,4.3,Mysteries/Thrillers,Home
255,2018-03,UCO74,female,50-64,2018,2.6,Sci-Fi & Fantasy,Home
256,2018-03,JMF22,male,65+,2018,2.4,Business,Walking/Shopping
257,2018-03,AXB90,female,18-29,2018,1.4,Business,Commuting
258,2018-03,ROB97,male,50-64,2018,2.3,Sci-Fi & Fantasy,Commuting
259,2018-03,WLH11,female,18-29,2018,1.6,Sci-Fi & Fantasy,Exercising
260,2018-03,RVF03,female,50-64,2018,3.9,Sci-Fi & Fantasy,Home
261,2018-03,DFF64,female,18-29,2018,2.7,Children,Home
262,2018-03,OKZ40,female,18-29,2018,2.2,Comedy,Home
263,2018-03,DTX14,female,18-29,2018,2.3,Podcasts,Walking/Shopping
264,2018-03,WOA52,male,30-49,2018,2.5,Sci-Fi & Fantasy,Commuting
265,2018-03,FYC87,male,18-29,2018,1.1,Romance,Home
266,2018-03,PIC69,male,30-49,2018,2.9,Non-fiction,Exercising
267,2018-03,EDM80,female,30-49,2018,1.8,Comedy,Exercising
268,2018-03,UCA14,male,50-64,2018,0.3,Podcasts,Commuting
269,2018-03,YRB14,female,18-29,2018,1.5,Mysteries/Thrillers,Home
270,2018-03,CRJ98,female,65+,2018,1.3,Business,Commuting
271,2018-03,VGL60,male,30-49,2018,2.1,Podcasts,Home
272,2018-03,AIK78,male,50-64,2018,4.2,Children,Exercising
273,2018-03,BBY21,female,50-64,2018,1.8,Podcasts,Home
274,2018-03,UUP78,male,18-29,2018,3.5,Comedy,Home
275,2018-03,WGK93,female,18-29,2018,0.8,Podcasts,Walking/Shopping
276,2018-03,QWW63,female,30-49,2018,3.8,Non-fiction,Exercising
277,2018-03,RAJ76,male,30-49,2018,2.3,History,Home
278,2018-03,CSP41,female,18-29,2018,2.8,Podcasts,Commuting
279,2018-03,PTF60,female,18-29,2018,2.0,Comedy,Commuting
280,2018-03,FJU28,female,30-49,2018,0.9,Business,Commuting
281,2018-03,ZEA77,male,50-64,2018,1.1,Non-fiction,Commuting
282,2018-03,XRU31,male,18-29,2018,2.3,Sci-Fi & Fantasy,Home
283,2018-03,ZPH80,female,18-29,2018,3.6,Sci-Fi & Fantasy,Home
284,2018-03,BGD46,female,65+,2018,1.1,Podcasts,Commuting
285,2018-03,NOD59,male,50-64,2018,3.1,Sci-Fi & Fantasy,Commuting
286,2018-03,IUQ76,female,18-29,2018,3.6,History,Home
287,2018-03,LGC11,female,65+,2018,4.1,Mysteries/Thrillers,Commuting
288,2018-03,TVV83,female,18-29,2018,4.1,Mysteries/Thrillers,Commuting
289,2018-03,RVD02,male,18-29,2018,4.2,Sci-Fi & Fantasy,Home
290,2018-03,XUD81,female,65+,2018,3.5,Comedy,Commuting
291,2018-03,GEW80,male,18-29,2018,2.4,Sci-Fi & Fantasy,Home
292,2018-03,AUK56,male,50-64,2018,1.2,Podcasts,Commuting
293,2018-03,OEI57,male,18-29,2018,1.8,Sci-Fi & Fantasy,Walking/Shopping
294,2018-03,IAD29,female,18-29,2018,2.2,Mysteries/Thrillers,Commuting
295,2018-03,LMK88,male,50-64,2018,2.4,Podcasts,Home
296,2018-03,ERO80,male,65+,2018,3.0,Business,Exercising
297,2018-03,PEO84,male,30-49,2018,2.3,Sci-Fi & Fantasy,Walking/Shopping
298,2018-03,NJY80,female,18-29,2018,2.9,Comedy,Commuting
299,2018-03,BNI06,male,18-29,2018,3.1,Romance,Commuting
300,2018-04,BCK19,male,18-29,2018,2.0,Sci-Fi & Fantasy,Commuting
301,2018-04,ANI81,female,18-29,2018,4.7,Romance,Commuting
302,2018-04,IIG04,female,18-29,2018,2.2,Mysteries/Thrillers,Commuting
303,2018-04,CPB34,male,30-49,2018,2.1,History,Exercising
304,2018-04,XCD70,female,30-49,2018,3.3,Mysteries/Thrillers,Exercising
305,2018-04,XOG87,male,30-49,2018,1.4,Comedy,Commuting
306,2018-04,IUF65,male,50-64,2018,3.0,Business,Exercising
307,2018-04,VIK75,male,30-49,2018,2.7,Podcasts,Home
308,2018-04,RQR84,male,18-29,2018,2.2,Sci-Fi & Fantasy,Walking/Shopping
309,2018-04,RJA71,male,50-64,2018,1.4,Sci-Fi & Fantasy,Commuting
310,2018-04,VXR13,male,30-49,2018,2.2,Romance,Walking/Shopping
311,2018-04,KBL53,female,50-64,2018,2.8,Romance,Home
312,2018-04,ECQ03,male,30-49,2018,4.0,Romance,Exercising
313,2018-04,FNS96,female,30-49,2018,1.6,Podcasts,Exercising
314,2018-04,ZZQ24,male,30-49,2018,1.9,Mysteries/Thrillers,Commuting
315,2018-04,EZL70,male,18-29,2018,3.3,Business,Home
316,2018-04,DFG32,female,30-49,2018,1.8,Non-fiction,Home
317,2018-04,LKC03,female,30-49,2018,4.1,Mysteries/Thrillers,Home
318,2018-04,CLA50,female,65+,2018,1.6,Mysteries/Thrillers,Home
319,2018-04,SKZ24,female,30-49,2018,3.2,Sci-Fi & Fantasy,Home
320,2018-04,TIJ69,male,30-49,2018,3.0,Business,Commuting
321,2018-04,WKS63,female,30-49,2018,3.2,Business,Home
322,2018-04,GCW05,male,30-49,2018,2.0,Mysteries/Thrillers,Commuting
323,2018-04,NDR97,male,30-49,2018,2.8,Sci-Fi & Fantasy,Home
324,2018-04,KDZ56,male,18-29,2018,1.9,Sci-Fi & Fantasy,Commuting
325,2018-04,UKB16,female,30-49,2018,3.1,Children,Commuting
326,2018-04,JWT96,female,30-49,2018,4.0,Mysteries/Thrillers,Commuting
327,2018-04,HUA58,male,50-64,2018,3.5,Mysteries/Thrillers,Home
328,2018-04,NDN53,male,30-49,2018,1.5,Romance,Walking/Shopping
329,2018-04,XIH52,female,18-29,2018,4.0,Non-fiction,Home
330,2018-04,IKY01,male,18-29,2018,1.2,History,Walking/Shopping
331,2018-04,FZX15,female,50-64,2018,3.8,Romance,Home
332,2018-04,CII59,male,18-29,2018,2.5,Comedy,Exercising
333,2018-04,VNU47,female,30-49,2018,3.7,Podcasts,Exercising
334,2018-04,UGV54,female,18-29,2018,2.5,Podcasts,Walking/Shopping
335,2018-04,KFN16,male,50-64,2018,0.8,Mysteries/Thrillers,Home
336,2018-04,XUP46,female,65+,2018,2.8,Comedy,Commuting
337,2018-04,DBW36,female,18-29,2018,0.9,Business,Commuting
338,2018-04,KJU37,male,65+,2018,2.4,Mysteries/Thrillers,Home
339,2018-04,VEZ04,female,18-29,2018,2.4,Children,Home
340,2018-04,NVE53,female,50-64,2018,3.2,Business,Home
341,2018-04,XDG83,male,50-64,2018,3.1,Podcasts,Commuting
342,2018-04,YBK15,male,50-64,2018,3.8,History,Home
343,2018-04,ZIQ24,male,18-29,2018,1.8,Sci-Fi & Fantasy,Commuting
344,2018-04,OGR59,male,18-29,2018,0.2,Non-fiction,Walking/Shopping
345,2018-04,HYE06,male,30-49,2018,2.7,Business,Exercising
346,2018-04,TMB91,male,18-29,2018,1.7,Mysteries/Thrillers,Commuting
347,2018-04,WXF84,female,50-64,2018,2.7,Sci-Fi & Fantasy,Home
348,2018-04,XXU25,male,18-29,2018,1.2,Romance,Commuting
349,2018-04,ZIK60,male,18-29,2018,4.1,Sci-Fi & Fantasy,Exercising
350,2018-04,GEK46,male,30-49,2018,1.7,Sci-Fi & Fantasy,Commuting
351,2018-04,MEB57,male,30-49,2018,2.7,Mysteries/Thrillers,Walking/Shopping
352,2018-04,YVH84,male,50-64,2018,1.2,Comedy,Commuting
353,2018-04,HCL52,male,18-29,2018,3.6,Comedy,Commuting
354,2018-04,FYB94,male,30-49,2018,1.8,Podcasts,Walking/Shopping
355,2018-04,UCO74,female,50-64,2018,1.7,Business,Exercising
356,2018-04,JMF22,male,65+,2018,2.7,Romance,Commuting
357,2018-04,AXB90,female,18-29,2018,1.6,Podcasts,Home
358,2018-04,ROB97,male,50-64,2018,2.5,Mysteries/Thrillers,Home
359,2018-04,WLH11,female,18-29,2018,3.6,Mysteries/Thrillers,Exercising
360,2018-04,RVF03,female,50-64,2018,3.3,Mysteries/Thrillers,Commuting
361,2018-04,DFF64,female,18-29,2018,2.3,Sci-Fi & Fantasy,Commuting
362,2018-04,OKZ40,female,18-29,2018,4.0,Children,Exercising
363,2018-04,DTX14,female,18-29,2018,2.3,Mysteries/Thrillers,Home
364,2018-04,WOA52,male,30-49,2018,1.8,Sci-Fi & Fantasy,Commuting
365,2018-04,FYC87,male,18-29,2018,0.8,Business,Home
366,2018-04,PIC69,male,30-49,2018,1.6,Sci-Fi & Fantasy,Commuting
367,2018-04,EDM80,female,30-49,2018,1.0,Comedy,Home
368,2018-04,UCA14,male,50-64,2018,0.2,Sci-Fi & Fantasy,Walking/Shopping
