,date,uid,gender,age_group,year,books_read
54,2018-01,FYB94,male,30-49,2018,0.35757496773435293
55,2018-01,UCO74,female,50-64,2018,1.2123658046848975
56,2018-01,JMF22,male,65+,2018,1.819408453957301
57,2018-01,AXB90,female,18-29,2018,2.0180158543795432
58,2018-01,ROB97,male,50-64,2018,2.8917227813406443
59,2018-01,WLH11,female,18-29,2018,0.9188799765017488
60,2018-01,RVF03,female,50-64,2018,2.081842662805009
61,2018-01,DFF64,female,18-29,2018,1.3066553138545154
62,2018-01,OKZ40,female,18-29,2018,2.119418470156342
63,2018-01,DTX14,female,18-29,2018,1.1554458790493956
64,2018-01,WOA52,male,30-49,2018,2.3621840627412998
65,2018-01,FYC87,male,18-29,2018,0.4498579040794275
66,2018-01,PIC69,male,30-49,2018,2.2630673871776055
67,2018-01,EDM80,female,30-49,2018,1.672897797054473
68,2018-01,UCA14,male,50-64,2018,1.273792405570045
69,2018-01,YRB14,female,18-29,2018,2.1573953784647886
70,2018-01,CRJ98,female,65+,2018,2.5618041810759222
71,2018-01,VGL60,male,30-49,2018,3.5302702926425216
72,2018-01,AIK78,male,50-64,2018,2.319181165606332
73,2018-01,BBY21,female,50-64,2018,1.6229878287515256
74,2018-01,UUP78,male,18-29,2018,1.8897428138346186
75,2018-01,WGK93,female,18-29,2018,2.081070927475512
76,2018-01,QWW63,female,30-49,2018,2.029589680243473
77,2018-01,RAJ76,male,30-49,2018,2.809178519125468
78,2018-01,CSP41,female,18-29,2018,3.115825115974621
79,2018-01,PTF60,female,18-29,2018,1.5929548622307346
80,2018-01,FJU28,female,30-49,2018,0.056305025751499205
81,2018-01,ZEA77,male,50-64,2018,1.7099424018255214
82,2018-01,XRU31,male,18-29,2018,1.8515448795933218
83,2018-01,ZPH80,female,18-29,2018,1.9362779447729237
84,2018-01,BGD46,female,65+,2018,3.0782966036632065
85,2018-01,NOD59,male,50-64,2018,2.6410209152617634
86,2018-01,IUQ76,female,18-29,2018,1.9025113011557007
87,2018-01,LGC11,female,65+,2018,2.0771354430212665
88,2018-01,TVV83,female,18-29,2018,1.4134394135522839
89,2018-01,RVD02,male,18-29,2018,1.278030933226112
90,2018-01,XUD81,female,65+,2018,2.974929477256751
91,2018-01,GEW80,male,18-29,2018,1.1045265562052693
92,2018-01,AUK56,male,50-64,2018,2.9889965608252775
93,2018-01,OEI57,male,18-29,2018,2.363284623705563
94,2018-01,IAD29,female,18-29,2018,1.5266705058563523
95,2018-01,LMK88,male,50-64,2018,2.8167996283566286
96,2018-01,ERO80,male,65+,2018,0.8498812992789664
97,2018-01,PEO84,male,30-49,2018,0.04820737597390967
98,2018-01,NJY80,female,18-29,2018,0.42543515658171227
99,2018-01,BNI06,male,18-29,2018,2.0843789836858213
100,2018-02,BCK19,male,18-29,2018,1.6379450768113788
101,2018-02,ANI81,female,18-29,2018,2.5192482755793932
102,2018-02,IIG04,female,18-29,2018,2.1611640589003493
103,2018-02,CPB34,male,30-49,2018,0.8734786235856953
104,2018-02,XCD70,female,30-49,2018,2.9171275437493707
105,2018-02,XOG87,male,30-49,2018,1.469028049762227
106,2018-02,IUF65,male,50-64,2018,2.4053059618172776
107,2018-02,VIK75,male,30-49,2018,2.1925397848821198
108,2018-02,RQR84,male,18-29,2018,0.4133893629660941
109,2018-02,RJA71,male,50-64,2018,1.8657386183344529
110,2018-02,VXR13,male,30-49,2018,0.30618290432175543
111,2018-02,KBL53,female,50-64,2018,1.0308679688308415
112,2018-02,ECQ03,male,30-49,2018,3.0413921004807944
113,2018-02,FNS96,female,30-49,2018,1.8797032660392694
114,2018-02,ZZQ24,male,30-49,2018,0.7560273884054134
115,2018-02,EZL70,male,18-29,2018,2.6986697509012423
116,2018-02,DFG32,female,30-49,2018,2.9639446364732294
117,2018-02,LKC03,female,30-49,2018,4.00664104705894
118,2018-02,CLA50,female,65+,2018,1.7229571570578648
119,2018-02,SKZ24,female,30-49,2018,1.5051073632130711
120,2018-02,TIJ69,male,30-49,2018,2.268083996961362
121,2018-02,WKS63,female,30-49,2018,2.4563695662682044
122,2018-02,GCW05,male,30-49,2018,1.165524951876872
123,2018-02,NDR97,male,30-49,2018,2.1637226333674486
124,2018-02,KDZ56,male,18-29,2018,1.2353510110593962
125,2018-02,UKB16,female,30-49,2018,1.9295724135284817
126,2018-02,JWT96,female,30-49,2018,1.7911943194551974
127,2018-02,HUA58,male,50-64,2018,1.192461646646651
128,2018-02,NDN53,male,30-49,2018,0.9318906654628052
129,2018-02,XIH52,female,18-29,2018,0.6973120861824063
130,2018-02,IKY01,male,18-29,2018,2.2541682672254812
131,2018-02,FZX15,female,50-64,2018,4.100150373179346
132,2018-02,CII59,male,18-29,2018,2.387017620432649
133,2018-02,VNU47,female,30-49,2018,2.7683819028256993
134,2018-02,UGV54,female,18-29,2018,4.460898035198198
135,2018-02,KFN16,male,50-64,2018,3.487525889856457
136,2018-02,XUP46,female,65+,2018,3.72237490077098
137,2018-02,DBW36,female,18-29,2018,3.887037841224458
138,2018-02,KJU37,male,65+,2018,3.372499699922994
139,2018-02,VEZ04,female,18-29,2018,2.447259710946555
140,2018-02,NVE53,female,50-64,2018,1.6158179688033794
141,2018-02,XDG83,male,50-64,2018,1.3699434894694094
142,2018-02,YBK15,male,50-64,2018,1.2084850901430448
143,2018-02,ZIQ24,male,18-29,2018,1.995918918269088
144,2018-02,OGR59,male,18-29,2018,1.7339009809130812
145,2018-02,HYE06,male,30-49,2018,1.5473314398852558
146,2018-02,TMB91,male,18-29,2018,3.057140179931485
147,2018-02,WXF84,female,50-64,2018,3.669390281033807
148,2018-02,XXU25,male,18-29,2018,2.457319393920175
149,2018-02,ZIK60,male,18-29,2018,2.7168982898543703
150,2018-02,GEK46,male,30-49,2018,1.5317241702823174
151,2018-02,MEB57,male,30-49,2018,4.405349998687221
152,2018-02,YVH84,male,50-64,2018,0.8665471086789864
153,2018-02,HCL52,male,18-29,2018,0.9257023574763521
154,2018-02,FYB94,male,30-49,2018,2.136588001759411
155,2018-02,UCO74,female,50-64,2018,2.6148376082669604
156,2018-02,JMF22,male,65+,2018,0.5347442444056805
157,2018-02,AXB90,female,18-29,2018,1.6020127254407568
158,2018-02,ROB97,male,50-64,2018,4.315228959604131
159,2018-02,WLH11,female,18-29,2018,1.1518059523674602
160,2018-02,RVF03,female,50-64,2018,0.5633040408792551
161,2018-02,DFF64,female,18-29,2018,2.3282812736298455
162,2018-02,OKZ40,female,18-29,2018,2.05342292770685
163,2018-02,DTX14,female,18-29,2018,0.7689398039608846
164,2018-02,WOA52,male,30-49,2018,3.312844003064309
165,2018-02,FYC87,male,18-29,2018,2.076510652694149
166,2018-02,PIC69,male,30-49,2018,1.644464156556971
167,2018-02,EDM80,female,30-49,2018,2.5003353078971977
168,2018-02,UCA14,male,50-64,2018,2.0891967989730973
169,2018-02,YRB14,female,18-29,2018,1.7245396717808328
170,2018-02,CRJ98,female,65+,2018,0.984148306702314
171,2018-02,VGL60,male,30-49,2018,3.064025301804885
172,2018-02,AIK78,male,50-64,2018,1.958466169351263
173,2018-02,BBY21,female,50-64,2018,1.1030628107541562
174,2018-02,UUP78,male,18-29,2018,1.236658738398767
175,2018-02,WGK93,female,18-29,2018,0.663673732509509
176,2018-02,QWW63,female,30-49,2018,4.754854550875832
177,2018-02,RAJ76,male,30-49,2018,0.8638476359879759
178,2018-02,CSP41,female,18-29,2018,2.477961122550978
179,2018-02,PTF60,female,18-29,2018,3.5200359929765463
180,2018-02,FJU28,female,30-49,2018,2.1123855512093446
181,2018-02,ZEA77,male,50-64,2018,2.7366796393512756
182,2018-02,XRU31,male,18-29,2018,3.087834192135193
183,2018-02,ZPH80,female,18-29,2018,1.6894367259469143
184,2018-02,BGD46,female,65+,2018,1.1308054846781568
185,2018-02,NOD59,male,50-64,2018,1.9660368975061133
186,2018-02,IUQ76,female,18-29,2018,2.840912686664679
187,2018-02,LGC11,female,65+,2018,1.867716287208023
188,2018-02,TVV83,female,18-29,2018,2.600965325045803
189,2018-02,RVD02,male,18-29,2018,2.7374335416182403
190,2018-02,XUD81,female,65+,2018,0.30186930287953473
191,2018-02,GEW80,male,18-29,2018,0.6640249797977396
192,2018-02,AUK56,male,50-64,2018,3.3154816870764305
193,2018-02,OEI57,male,18-29,2018,1.135052146429707
194,2018-02,IAD29,female,18-29,2018,1.5388302353926575
195,2018-02,LMK88,male,50-64,2018,3.4037836096642153
196,2018-02,ERO80,male,65+,2018,0.2665773025764613
197,2018-02,PEO84,male,30-49,2018,1.5826230841649362
198,2018-02,NJY80,female,18-29,2018,2.306819819687936
199,2018-02,BNI06,male,18-29,2018,2.8638599327843894
200,2018-03,BCK19,male,18-29,2018,1.6873685038033628
201,2018-03,ANI81,female,18-29,2018,0.19513072500135276
202,2018-03,IIG04,female,18-29,2018,1.4376510257383415
203,2018-03,CPB34,male,30-49,2018,3.306300811760648
204,2018-03,XCD70,female,30-49,2018,3.4642054550864367
205,2018-03,XOG87,male,30-49,2018,2.5662233584117575
206,2018-03,IUF65,male,50-64,2018,1.6803861187129183
207,2018-03,VIK75,male,30-49,2018,2.2359342744773194
208,2018-03,RQR84,male,18-29,2018,2.9511889786827807
209,2018-03,RJA71,male,50-64,2018,2.5033446647140085
210,2018-03,VXR13,male,30-49,2018,1.720428037444482
211,2018-03,KBL53,female,50-64,2018,1.7497155118657988
212,2018-03,ECQ03,male,30-49,2018,2.3942165187346616
213,2018-03,FNS96,female,30-49,2018,1.4665743901801207
214,2018-03,ZZQ24,male,30-49,2018,0.8185655280911406
215,2018-03,EZL70,male,18-29,2018,1.417262570230696
216,2018-03,DFG32,female,30-49,2018,2.070573398343368
217,2018-03,LKC03,female,30-49,2018,1.7360245259297205
218,2018-03,CLA50,female,65+,2018,1.9203631417838265
219,2018-03,SKZ24,female,30-49,2018,2.683542260705046
220,2018-03,TIJ69,male,30-49,2018,2.0148247880077896
221,2018-03,WKS63,female,30-49,2018,1.894823553556228
222,2018-03,GCW05,male,30-49,2018,3.076858819043354
223,2018-03,NDR97,male,30-49,2018,2.395624311089323
224,2018-03,KDZ56,male,18-29,2018,2.6733081688398
225,2018-03,UKB16,female,30-49,2018,1.5901336548202627
226,2018-03,JWT96,female,30-49,2018,1.770669624767678
227,2018-03,HUA58,male,50-64,2018,2.585162148977006
228,2018-03,NDN53,male,30-49,2018,1.0756281203926068
229,2018-03,XIH52,female,18-29,2018,0.09106789182470076
230,2018-03,IKY01,male,18-29,2018,3.2551230415822356
231,2018-03,FZX15,female,50-64,2018,2.1870759549691527
232,2018-03,CII59,male,18-29,2018,2.0271326881308807
233,2018-03,VNU47,female,30-49,2018,1.4082096616170072
234,2018-03,UGV54,female,18-29,2018,2.090826160544476
235,2018-03,KFN16,male,50-64,2018,2.03603746635751
236,2018-03,XUP46,female,65+,2018,2.423222808308153
237,2018-03,DBW36,female,18-29,2018,1.9225676769024265
238,2018-03,KJU37,male,65+,2018,2.0925108573576483
239,2018-03,VEZ04,female,18-29,2018,3.0769398494810867
240,2018-03,NVE53,female,50-64,2018,3.181792828769723
241,2018-03,XDG83,male,50-64,2018,0.30226957411941036
242,2018-03,YBK15,male,50-64,2018,2.3891660345982544
243,2018-03,ZIQ24,male,18-29,2018,1.6885586404715769
244,2018-03,OGR59,male,18-29,2018,1.0579267333546194
245,2018-03,HYE06,male,30-49,2018,2.130788425475237
246,2018-03,TMB91,male,18-29,2018,1.4991539442448807
247,2018-03,WXF84,female,50-64,2018,2.2151807685683984
248,2018-03,XXU25,male,18-29,2018,3.1329100876293525
249,2018-03,ZIK60,male,18-29,2018,3.087062833820503
250,2018-03,GEK46,male,30-49,2018,0.9066950538102783
251,2018-03,MEB57,male,30-49,2018,3.690468534427896
252,2018-03,YVH84,male,50-64,2018,3.181218132067726
253,2018-03,HCL52,male,18-29,2018,0.35120809230686634
254,2018-03,FYB94,male,30-49,2018,0.290146001169
255,2018-03,UCO74,female,50-64,2018,1.1928916506804934
256,2018-03,JMF22,male,65+,2018,1.3549096194938388
257,2018-03,AXB90,female,18-29,2018,3.091829858640666
258,2018-03,ROB97,male,50-64,2018,2.900958196844472
259,2018-03,WLH11,female,18-29,2018,1.5225994299580052
260,2018-03,RVF03,female,50-64,2018,3.8308827090383977
261,2018-03,DFF64,female,18-29,2018,0.4897104569824624
262,2018-03,OKZ40,female,18-29,2018,2.4209999473269903
263,2018-03,DTX14,female,18-29,2018,3.4890633039627126
264,2018-03,WOA52,male,30-49,2018,3.080863178784398
265,2018-03,FYC87,male,18-29,2018,2.549763182868043
266,2018-03,PIC69,male,30-49,2018,0.9346504226655077
267,2018-03,EDM80,female,30-49,2018,3.8010060129853778
268,2018-03,UCA14,male,50-64,2018,1.3153353098499398
269,2018-03,YRB14,female,18-29,2018,2.5858483101244003
270,2018-03,CRJ98,female,65+,2018,3.614054597788415
271,2018-03,VGL60,male,30-49,2018,1.0369842196341765
272,2018-03,AIK78,male,50-64,2018,1.3189358286835224
273,2018-03,BBY21,female,50-64,2018,2.9111339284838187
274,2018-03,UUP78,male,18-29,2018,0.9270786156665018
275,2018-03,WGK93,female,18-29,2018,3.20719872088256
276,2018-03,QWW63,female,30-49,2018,1.6621425742883398
277,2018-03,RAJ76,male,30-49,2018,2.123108820845739
278,2018-03,CSP41,female,18-29,2018,2.4015523354818926
279,2018-03,PTF60,female,18-29,2018,1.4894140534373304
280,2018-03,FJU28,female,30-49,2018,1.6281878296027696
281,2018-03,ZEA77,male,50-64,2018,3.2344221676911866
282,2018-03,XRU31,male,18-29,2018,2.072604487967181
283,2018-03,ZPH80,female,18-29,2018,3.2949618475073774
284,2018-03,BGD46,female,65+,2018,2.3508639072907926
285,2018-03,NOD59,male,50-64,2018,1.352227185372167
286,2018-03,IUQ76,female,18-29,2018,1.6508729264849002
287,2018-03,LGC11,female,65+,2018,0.9723947179177939
288,2018-03,TVV83,female,18-29,2018,1.9014586267821691
289,2018-03,RVD02,male,18-29,2018,3.8651876139561097
290,2018-03,XUD81,female,65+,2018,1.2244337381599784
291,2018-03,GEW80,male,18-29,2018,2.211314166303118
292,2018-03,AUK56,male,50-64,2018,2.0384093432333734
293,2018-03,OEI57,male,18-29,2018,1.7522124367188694
294,2018-03,IAD29,female,18-29,2018,1.1061050335212723
295,2018-03,LMK88,male,50-64,2018,2.2032439321428776
296,2018-03,ERO80,male,65+,2018,1.9774084837258707
297,2018-03,PEO84,male,30-49,2018,3.0246880875699027
298,2018-03,NJY80,female,18-29,2018,3.5318495514370585
299,2018-03,BNI06,male,18-29,2018,0.8488504827941858
300,2018-04,BCK19,male,18-29,2018,1.8693863009044867
301,2018-04,ANI81,female,18-29,2018,2.6635868499506534
302,2018-04,IIG04,female,18-29,2018,1.7014669196918253
303,2018-04,CPB34,male,30-49,2018,3.3338043329345464
304,2018-04,XCD70,female,30-49,2018,2.595886497111002
305,2018-04,XOG87,male,30-49,2018,1.6558858839956603
306,2018-04,IUF65,male,50-64,2018,1.8236040984126975
307,2018-04,VIK75,male,30-49,2018,2.3392840657785103
308,2018-04,RQR84,male,18-29,2018,4.498640111686186
309,2018-04,RJA71,male,50-64,2018,2.585278978846244
310,2018-04,VXR13,male,30-49,2018,3.2374895906008994
311,2018-04,KBL53,female,50-64,2018,2.5231287047143325
312,2018-04,ECQ03,male,30-49,2018,3.6903558188112333
313,2018-04,FNS96,female,30-49,2018,2.690325833524075
314,2018-04,ZZQ24,male,30-49,2018,2.5566095639951567
315,2018-04,EZL70,male,18-29,2018,1.883261680864972
316,2018-04,DFG32,female,30-49,2018,2.031478247119165
317,2018-04,LKC03,female,30-49,2018,2.92723910070747
318,2018-04,CLA50,female,65+,2018,1.6225801738556753
319,2018-04,SKZ24,female,30-49,2018,1.7808582622138935
320,2018-04,TIJ69,male,30-49,2018,0.7963057512332503
321,2018-04,WKS63,female,30-49,2018,2.811146788703039
322,2018-04,GCW05,male,30-49,2018,0.23106320931571878
323,2018-04,NDR97,male,30-49,2018,2.228313925439383
324,2018-04,KDZ56,male,18-29,2018,3.1532437360274077
325,2018-04,UKB16,female,30-49,2018,3.1052354978669454
326,2018-04,JWT96,female,30-49,2018,2.81357288960689
327,2018-04,HUA58,male,50-64,2018,1.7417698326472881
328,2018-04,NDN53,male,30-49,2018,1.5851240330910787
329,2018-04,XIH52,female,18-29,2018,1.6062501199711514
330,2018-04,IKY01,male,18-29,2018,1.1659959593159128
331,2018-04,FZX15,female,50-64,2018,3.250029085021981
332,2018-04,CII59,male,18-29,2018,1.7293796243605408
333,2018-04,VNU47,female,30-49,2018,2.1908115454162767
334,2018-04,UGV54,female,18-29,2018,0.6347187729496244
335,2018-04,KFN16,male,50-64,2018,1.211234803451891
336,2018-04,XUP46,female,65+,2018,3.2061824085649366
337,2018-04,DBW36,female,18-29,2018,2.820301992523441
338,2018-04,KJU37,male,65+,2018,2.3946675611023442
339,2018-04,VEZ04,female,18-29,2018,2.957133214644075
340,2018-04,NVE53,female,50-64,2018,3.5655742345929866
341,2018-04,XDG83,male,50-64,2018,1.2199499383628116
342,2018-04,YBK15,male,50-64,2018,3.4029330910744977
343,2018-04,ZIQ24,male,18-29,2018,2.334833625409922
344,2018-04,OGR59,male,18-29,2018,2.5632765346008304
345,2018-04,HYE06,male,30-49,2018,2.0967461414255526
346,2018-04,TMB91,male,18-29,2018,2.0199135984722307
347,2018-04,WXF84,female,50-64,2018,2.5926453859165406
348,2018-04,XXU25,male,18-29,2018,1.5685817107270084
349,2018-04,ZIK60,male,18-29,2018,0.43767161167423696
350,2018-04,GEK46,male,30-49,2018,1.702942821948617
351,2018-04,MEB57,male,30-49,2018,1.588887851467176
352,2018-04,YVH84,male,50-64,2018,1.951966707960657
353,2018-04,HCL52,male,18-29,2018,3.2179340560048266
354,2018-04,FYB94,male,30-49,2018,2.1344710480784648
355,2018-04,UCO74,female,50-64,2018,0.744433371426283
356,2018-04,JMF22,male,65+,2018,2.0588569943978197
357,2018-04,AXB90,female,18-29,2018,1.769501993692307
358,2018-04,ROB97,male,50-64,2018,1.7083658167613982
359,2018-04,WLH11,female,18-29,2018,2.438925661599653
360,2018-04,RVF03,female,50-64,2018,1.518731542647564
361,2018-04,DFF64,female,18-29,2018,0.7709511427534996
362,2018-04,OKZ40,female,18-29,2018,2.2172018114548133
363,2018-04,DTX14,female,18-29,2018,2.5293432842554853
364,2018-04,WOA52,male,30-49,2018,1.8371329278045592
365,2018-04,FYC87,male,18-29,2018,1.4331872390177645
366,2018-04,PIC69,male,30-49,2018,1.1886809167483254
367,2018-04,EDM80,female,30-49,2018,2.0248095651934546
368,2018-04,UCA14,male,50-64,2018,1.5699854562141609
369,2018-04,YRB14,female,18-29,2018,1.9913971883625745
370,2018-04,CRJ98,female,65+,2018,2.890127595168881
371,2018-04,VGL60,male,30-49,2018,0.3637249918206735
372,2018-04,AIK78,male,50-64,2018,2.2420602413748782
373,2018-04,BBY21,female,50-64,2018,2.135972816703434
374,2018-04,UUP78,male,18-29,2018,0.684782940970412
375,2018-04,WGK93,female,18-29,2018,3.9479202988275377
376,2018-04,QWW63,female,30-49,2018,2.267858851095202
377,2018-04,RAJ76,male,30-49,2018,2.362165369940083
378,2018-04,CSP41,female,18-29,2018,1.1674109639001455
379,2018-04,PTF60,female,18-29,2018,2.5854737406438755
380,2018-04,FJU28,female,30-49,2018,1.2354058976160212
381,2018-04,ZEA77,male,50-64,2018,2.6279276794925113
382,2018-04,XRU31,male,18-29,2018,1.0983334330624874
383,2018-04,ZPH80,female,18-29,2018,2.132590438352059
384,2018-04,BGD46,female,65+,2018,1.7869881620065424
385,2018-04,NOD59,male,50-64,2018,2.499611772119027
386,2018-04,IUQ76,female,18-29,2018,1.3080930696787352
387,2018-04,LGC11,female,65+,2018,2.991044284814093
388,2018-04,TVV83,female,18-29,2018,2.4496138565367502
389,2018-04,RVD02,male,18-29,2018,1.4355884703980293
390,2018-04,XUD81,female,65+,2018,1.8058856597982431
391,2018-04,GEW80,male,18-29,2018,0.676781054512479
392,2018-04,AUK56,male,50-64,2018,0.9903128188829384
393,2018-04,OEI57,male,18-29,2018,1.8882349897996396
394,2018-04,IAD29,female,18-29,2018,4.186270549223306
395,2018-04,LMK88,male,50-64,2018,1.2962630376620812
396,2018-04,ERO80,male,65+,2018,1.889350451911367
397,2018-04,PEO84,male,30-49,2018,1.6742934811457215
398,2018-04,NJY80,female,18-29,2018,2.0532812788265344
399,2018-04,BNI06,male,18-29,2018,1.615721622740304
400,2018-05,BCK19,male,18-29,2018,3.579880568491801
401,2018-05,ANI81,female,18-29,2018,2.505698388921152
402,2018-05,IIG04,female,18-29,2018,2.6006470756036637
403,2018-05,CPB34,male,30-49,2018,1.1405054828323795
404,2018-05,XCD70,female,30-49,2018,3.0360696733552386
405,2018-05,XOG87,male,30-49,2018,1.9001350944294617
406,2018-05,IUF65,male,50-64,2018,4.156242076096678
407,2018-05,VIK75,male,30-49,2018,2.6321582335337177
408,2018-05,RQR84,male,18-29,2018,1.510075055193969
409,2018-05,RJA71,male,50-64,2018,4.038023549944452
410,2018-05,VXR13,male,30-49,2018,1.3294190484640223
411,2018-05,KBL53,female,50-64,2018,1.660427792500398
412,2018-05,ECQ03,male,30-49,2018,0.43474552182531
413,2018-05,FNS96,female,30-49,2018,2.531765267325298
414,2018-05,ZZQ24,male,30-49,2018,1.4358664014074365
415,2018-05,EZL70,male,18-29,2018,2.500425353090642
416,2018-05,DFG32,female,30-49,2018,2.455433678651472
417,2018-05,LKC03,female,30-49,2018,0.7266486091170137
418,2018-05,CLA50,female,65+,2018,0.4773122035262387
419,2018-05,SKZ24,female,30-49,2018,1.7826618509595116
420,2018-05,TIJ69,male,30-49,2018,2.2695102346051756
421,2018-05,WKS63,female,30-49,2018,3.2287662152610315
422,2018-05,GCW05,male,30-49,2018,2.358589750494993
423,2018-05,NDR97,male,30-49,2018,3.7676349145699586
424,2018-05,KDZ56,male,18-29,2018,3.34602746352565
425,2018-05,UKB16,female,30-49,2018,1.092895189804048
426,2018-05,JWT96,female,30-49,2018,2.924991827092149
427,2018-05,HUA58,male,50-64,2018,3.005452708198651
428,2018-05,NDN53,male,30-49,2018,0.6979022509782107
429,2018-05,XIH52,female,18-29,2018,1.7123487450817816
430,2018-05,IKY01,male,18-29,2018,1.8927422747822427
431,2018-05,FZX15,female,50-64,2018,2.6317747115063885
432,2018-05,CII59,male,18-29,2018,2.054223349300974
433,2018-05,VNU47,female,30-49,2018,3.78509910754235
434,2018-05,UGV54,female,18-29,2018,2.531271290776223
435,2018-05,KFN16,male,50-64,2018,2.2208187409004276
436,2018-05,XUP46,female,65+,2018,1.50881520037835
437,2018-05,DBW36,female,18-29,2018,1.5159664757990772
438,2018-05,KJU37,male,65+,2018,1.2561645112718232
439,2018-05,VEZ04,female,18-29,2018,3.308138519888929
440,2018-05,NVE53,female,50-64,2018,2.862551890333924
441,2018-05,XDG83,male,50-64,2018,3.016000911197382
442,2018-05,YBK15,male,50-64,2018,1.5686004019978723
443,2018-05,ZIQ24,male,18-29,2018,1.8297116870186578
444,2018-05,OGR59,male,18-29,2018,2.9424368075338467
445,2018-05,HYE06,male,30-49,2018,2.1657944113965226
446,2018-05,TMB91,male,18-29,2018,2.7218112222670574
447,2018-05,WXF84,female,50-64,2018,3.8352320897842462
448,2018-05,XXU25,male,18-29,2018,1.5941122139315134
449,2018-05,ZIK60,male,18-29,2018,1.2148649012783777
450,2018-05,GEK46,male,30-49,2018,1.1200750928380163
451,2018-05,MEB57,male,30-49,2018,0.5745639318896536
452,2018-05,YVH84,male,50-64,2018,0.39753092779704047
453,2018-05,HCL52,male,18-29,2018,2.9435875694962705
454,2018-05,FYB94,male,30-49,2018,1.2865307869835871
455,2018-05,UCO74,female,50-64,2018,2.109333035778411
456,2018-05,JMF22,male,65+,2018,1.7962606595572128
457,2018-05,AXB90,female,18-29,2018,3.410872804128899
458,2018-05,ROB97,male,50-64,2018,1.1455372434133302
459,2018-05,WLH11,female,18-29,2018,1.9409248913718855
460,2018-05,RVF03,female,50-64,2018,1.5998267875250498
461,2018-05,DFF64,female,18-29,2018,2.6217538114244276
462,2018-05,OKZ40,female,18-29,2018,2.181281688844175
463,2018-05,DTX14,female,18-29,2018,1.9492978869793895
464,2018-05,WOA52,male,30-49,2018,1.4360607683997137
465,2018-05,FYC87,male,18-29,2018,1.0552567661212668
466,2018-05,PIC69,male,30-49,2018,2.18335611841253
467,2018-05,EDM80,female,30-49,2018,1.719242128853511
468,2018-05,UCA14,male,50-64,2018,2.6711672519678054
